day,pond,variable,value
1,SNR2,temp,28.2
1,SNR2,ph,8.26
1,SNR2,do,4.7
1,SNR2,chl,314.77
1,SNR2,pc,8.74
1,SNR2,amm,0.01
1,JKS1,temp,28.6
1,JKS1,ph,8.34
1,JKS1,do,2
1,JKS1,chl,110.52
1,JKS1,pc,6.8
1,JKS1,amm,0.16
1,PNR1,temp,28.3
1,PNR1,ph,8.34
1,PNR1,do,2.87
1,PNR1,chl,182.11
1,PNR1,pc,7.64
1,PNR1,amm,0.14
1,GOW2,temp,28.5
1,GOW2,ph,8.48
1,GOW2,do,8.79
1,GOW2,chl,185.36
1,GOW2,pc,6.53
1,GOW2,amm,0.33
1,SRV1,temp,28.6
1,SRV1,ph,8.31
1,SRV1,do,3.75
1,SRV1,chl,213.31
1,SRV1,pc,6.27
1,SRV1,amm,0.06
1,SRK1,temp,27.9
1,SRK1,ph,8.85
1,SRK1,do,7.65
1,SRK1,chl,621.83
1,SRK1,pc,16.36
1,SRK1,amm,0.07
1,VVR1,temp,28.5
1,VVR1,ph,8.39
1,VVR1,do,5.51
1,VVR1,chl,236.18
1,VVR1,pc,6.89
1,VVR1,amm,0.06
1,KIS1,temp,28.9
1,KIS1,ph,8.03
1,KIS1,do,3.3
1,KIS1,chl,95.45
1,KIS1,pc,2.91
1,KIS1,amm,0.03
1,PRA1,temp,29
1,PRA1,ph,8.36
1,PRA1,do,3.3
1,PRA1,chl,358.49
1,PRA1,pc,11.2
1,PRA1,amm,0.19
1,SBR1,temp,28.9
1,SBR1,ph,7.96
1,SBR1,do,3.99
1,SBR1,chl,255.62
1,SBR1,pc,11.06
1,SBR1,amm,0.14
1,NSR1,temp,27.9
1,NSR1,ph,8.24
1,NSR1,do,3.7
1,NSR1,chl,52.33
1,NSR1,pc,10.6
1,NSR1,amm,0.23
1,JAG1,temp,28.4
1,JAG1,ph,8.22
1,JAG1,do,2.1
1,JAG1,chl,253.65
1,JAG1,pc,7.19
1,JAG1,amm,0.25
1,VPS3,temp,28.8
1,VPS3,ph,8.16
1,VPS3,do,3.7
1,VPS3,chl,126.37
1,VPS3,pc,3.97
1,VPS3,amm,0.18
1,NRO1,temp,28.7
1,NRO1,ph,8.07
1,NRO1,do,1.6
1,NRO1,chl,267.14
1,NRO1,pc,14.88
1,NRO1,amm,0.26
1,VMS1,temp,28.7
1,VMS1,ph,8.2
1,VMS1,do,2.7
1,VMS1,chl,335.43
1,VMS1,pc,10.17
1,VMS1,amm,0.28
1,GRA1,temp,28.3
1,GRA1,ph,8.37
1,GRA1,do,3.2
1,GRA1,chl,276.81
1,GRA1,pc,10.47
1,GRA1,amm,0.12
1,PKR1,temp,29.7
1,PKR1,ph,8.18
1,PKR1,do,4.8
1,PKR1,chl,257.05
1,PKR1,pc,7.33
1,PKR1,amm,0.21
1,SRI2,temp,28.5
1,SRI2,ph,8.14
1,SRI2,do,3.1
1,SRI2,chl,118.74
1,SRI2,pc,4.97
1,SRI2,amm,0.08
1,SRI1,temp,28.6
1,SRI1,ph,8.2
1,SRI1,do,2.7
1,SRI1,chl,138.97
1,SRI1,pc,4.88
1,SRI1,amm,0.44
1,GIL2,temp,28.4
1,GIL2,ph,8.19
1,GIL2,do,3.4
1,GIL2,chl,61.55
1,GIL2,pc,1.6
1,GIL2,amm,0.06
2,SNR2,temp,29
2,SNR2,ph,8.2
2,SNR2,do,3.58
2,SNR2,chl,195.48
2,SNR2,pc,9.76
2,SNR2,amm,0.05
2,JKS1,temp,29.3
2,JKS1,ph,7.89
2,JKS1,do,1.21
2,JKS1,chl,52.38
2,JKS1,pc,5.6
2,JKS1,amm,0.03
2,PNR1,temp,28.6
2,PNR1,ph,8.48
2,PNR1,do,5.94
2,PNR1,chl,106.35
2,PNR1,pc,8.78
2,PNR1,amm,0.14
2,GOW2,temp,29.4
2,GOW2,ph,8.42
2,GOW2,do,6.73
2,GOW2,chl,123.2
2,GOW2,pc,8.32
2,GOW2,amm,0.17
2,SRV1,temp,28.7
2,SRV1,ph,8.09
2,SRV1,do,4.57
2,SRV1,chl,98.44
2,SRV1,pc,4.68
2,SRV1,amm,0.08
2,SRK1,temp,28.7
2,SRK1,ph,8.66
2,SRK1,do,2.04
2,SRK1,chl,377.58
2,SRK1,pc,19.03
2,SRK1,amm,0.07
2,VVR1,temp,29.5
2,VVR1,ph,8.54
2,VVR1,do,7.62
2,VVR1,chl,136.97
2,VVR1,pc,6.81
2,VVR1,amm,0.04
2,KIS1,temp,29.5
2,KIS1,ph,8.06
2,KIS1,do,3.84
2,KIS1,chl,44.31
2,KIS1,pc,2.5
2,KIS1,amm,0.04
2,PRA1,temp,30
2,PRA1,ph,8.42
2,PRA1,do,9.28
2,PRA1,chl,151.73
2,PRA1,pc,10.74
2,PRA1,amm,0.08
2,SBR1,temp,29.7
2,SBR1,ph,8.22
2,SBR1,do,7.55
2,SBR1,chl,132.7
2,SBR1,pc,12.73
2,SBR1,amm,0.1
2,NSR1,temp,28.5
2,NSR1,ph,8.42
2,NSR1,do,5.7
2,NSR1,chl,42.25
2,NSR1,pc,12.09
2,NSR1,amm,0.12
2,JAG1,temp,29.2
2,JAG1,ph,8.3
2,JAG1,do,2.1
2,JAG1,chl,158.34
2,JAG1,pc,7.17
2,JAG1,amm,0.03
2,VPS3,temp,29.2
2,VPS3,ph,8.22
2,VPS3,do,3.1
2,VPS3,chl,126.34
2,VPS3,pc,5.28
2,VPS3,amm,0.17
2,NRO1,temp,29.6
2,NRO1,ph,8.28
2,NRO1,do,6.5
2,NRO1,chl,189.65
2,NRO1,pc,16
2,NRO1,amm,0.2
2,VMS1,temp,29.2
2,VMS1,ph,8.28
2,VMS1,do,2.8
2,VMS1,chl,258.82
2,VMS1,pc,11.41
2,VMS1,amm,0.31
2,GRA1,temp,28.9
2,GRA1,ph,8.43
2,GRA1,do,3
2,GRA1,chl,148.63
2,GRA1,pc,7.61
2,GRA1,amm,0.12
2,PKR1,temp,29.9
2,PKR1,ph,8.25
2,PKR1,do,6.6
2,PKR1,chl,190.67
2,PKR1,pc,7.32
2,PKR1,amm,0.17
2,SRI2,temp,28.6
2,SRI2,ph,8.19
2,SRI2,do,0.8
2,SRI2,chl,170.45
2,SRI2,pc,8.01
2,SRI2,amm,0.08
2,SRI1,temp,29.5
2,SRI1,ph,8.27
2,SRI1,do,6.4
2,SRI1,chl,85.36
2,SRI1,pc,6.82
2,SRI1,amm,0.66
2,GIL2,temp,28.7
2,GIL2,ph,8.23
2,GIL2,do,2.5
2,GIL2,chl,55.76
2,GIL2,pc,2.1
2,GIL2,amm,0.06
3,SNR2,temp,28.5
3,SNR2,ph,8.63
3,SNR2,do,3.73
3,SNR2,chl,214.55
3,SNR2,pc,9.75
3,SNR2,amm,0.07
3,JKS1,temp,29.3
3,JKS1,ph,8.36
3,JKS1,do,3.17
3,JKS1,chl,81.72
3,JKS1,pc,4.79
3,JKS1,amm,0.11
3,PNR1,temp,29.3
3,PNR1,ph,9.1
3,PNR1,do,12.94
3,PNR1,chl,77.2
3,PNR1,pc,9.27
3,PNR1,amm,0.16
3,GOW2,temp,29.5
3,GOW2,ph,8.87
3,GOW2,do,11.04
3,GOW2,chl,131.93
3,GOW2,pc,9.69
3,GOW2,amm,0.11
3,SRV1,temp,29.4
3,SRV1,ph,8.66
3,SRV1,do,3.32
3,SRV1,chl,185.66
3,SRV1,pc,8.58
3,SRV1,amm,0.11
3,SRK1,temp,28.6
3,SRK1,ph,8.96
3,SRK1,do,3.86
3,SRK1,chl,477.38
3,SRK1,pc,22.65
3,SRK1,amm,0.08
3,VVR1,temp,29.3
3,VVR1,ph,9.04
3,VVR1,do,13.44
3,VVR1,chl,142.82
3,VVR1,pc,6.49
3,VVR1,amm,0.12
3,KIS1,temp,30.1
3,KIS1,ph,8.53
3,KIS1,do,6.88
3,KIS1,chl,52.15
3,KIS1,pc,2.49
3,KIS1,amm,0.08
3,PRA1,temp,29.8
3,PRA1,ph,8.61
3,PRA1,do,3.9
3,PRA1,chl,180.58
3,PRA1,pc,10.31
3,PRA1,amm,0.17
3,SBR1,temp,30.4
3,SBR1,ph,8.77
3,SBR1,do,13.87
3,SBR1,chl,147.42
3,SBR1,pc,12.66
3,SBR1,amm,0.15
3,NSR1,temp,28.9
3,NSR1,ph,8.51
3,NSR1,do,7.6
3,NSR1,chl,73.02
3,NSR1,pc,12.02
3,NSR1,amm,0.14
3,JAG1,temp,28.9
3,JAG1,ph,8.28
3,JAG1,do,2.8
3,JAG1,chl,138.85
3,JAG1,pc,6.22
3,JAG1,amm,0.25
3,VPS3,temp,29.4
3,VPS3,ph,8.21
3,VPS3,do,4.6
3,VPS3,chl,85.9
3,VPS3,pc,4.04
3,VPS3,amm,0.28
3,NRO1,temp,29.3
3,NRO1,ph,8.13
3,NRO1,do,1.1
3,NRO1,chl,137.97
3,NRO1,pc,12.4
3,NRO1,amm,0.21
3,VMS1,temp,29.6
3,VMS1,ph,8.28
3,VMS1,do,5.8
3,VMS1,chl,238.28
3,VMS1,pc,11.16
3,VMS1,amm,0.24
3,GRA1,temp,29.2
3,GRA1,ph,8.48
3,GRA1,do,3.3
3,GRA1,chl,111.26
3,GRA1,pc,5.64
3,GRA1,amm,0.17
3,PKR1,temp,30.5
3,PKR1,ph,8.33
3,PKR1,do,8.1
3,PKR1,chl,228.51
3,PKR1,pc,9.81
3,PKR1,amm,0.25
3,SRI2,temp,29.7
3,SRI2,ph,8.19
3,SRI2,do,7
3,SRI2,chl,95.73
3,SRI2,pc,6.84
3,SRI2,amm,0.15
3,SRI1,temp,29.2
3,SRI1,ph,8.23
3,SRI1,do,4.2
3,SRI1,chl,177.07
3,SRI1,pc,8.4
3,SRI1,amm,0.54
3,GIL2,temp,29.2
3,GIL2,ph,8.33
3,GIL2,do,7.7
3,GIL2,chl,56.81
3,GIL2,pc,2
3,GIL2,amm,0.13
4,SNR2,temp,28
4,SNR2,ph,8.38
4,SNR2,do,3.82
4,SNR2,chl,199.88
4,SNR2,pc,8.94
4,SNR2,amm,0.07
4,JKS1,temp,29.4
4,JKS1,ph,7.94
4,JKS1,do,3.6
4,JKS1,chl,85.07
4,JKS1,pc,2.91
4,JKS1,amm,0.1
4,PNR1,temp,28.6
4,PNR1,ph,8.67
4,PNR1,do,5.4
4,PNR1,chl,86.14
4,PNR1,pc,8.71
4,PNR1,amm,0.2
4,GOW2,temp,30.1
4,GOW2,ph,8.55
4,GOW2,do,11.51
4,GOW2,chl,127.99
4,GOW2,pc,6.82
4,GOW2,amm,0.14
4,SRV1,temp,29.3
4,SRV1,ph,8.33
4,SRV1,do,5.4
4,SRV1,chl,139.9
4,SRV1,pc,4.9
4,SRV1,amm,0.13
4,SRK1,temp,29.1
4,SRK1,ph,8.69
4,SRK1,do,9.18
4,SRK1,chl,383.74
4,SRK1,pc,18.03
4,SRK1,amm,0.09
4,VVR1,temp,28.3
4,VVR1,ph,8.66
4,VVR1,do,3.25
4,VVR1,chl,139.85
4,VVR1,pc,4.16
4,VVR1,amm,0.05
4,KIS1,temp,29.9
4,KIS1,ph,8.1
4,KIS1,do,5.55
4,KIS1,chl,32.1
4,KIS1,pc,1.06
4,KIS1,amm,0.1
4,PRA1,temp,29.6
4,PRA1,ph,8.23
4,PRA1,do,4.39
4,PRA1,chl,171.74
4,PRA1,pc,8.65
4,PRA1,amm,0.23
4,SBR1,temp,30.4
4,SBR1,ph,8.25
4,SBR1,do,9.08
4,SBR1,chl,129.88
4,SBR1,pc,9.92
4,SBR1,amm,0.11
4,NSR1,temp,29.2
4,NSR1,ph,8.57
4,NSR1,do,9.6
4,NSR1,chl,96.64
4,NSR1,pc,11.57
4,NSR1,amm,0.17
4,JAG1,temp,29.3
4,JAG1,ph,8.33
4,JAG1,do,4.5
4,JAG1,chl,154.75
4,JAG1,pc,6.48
4,JAG1,amm,0.21
4,VPS3,temp,29.5
4,VPS3,ph,8.22
4,VPS3,do,4
4,VPS3,chl,105.07
4,VPS3,pc,3.4
4,VPS3,amm,0.16
4,NRO1,temp,30
4,NRO1,ph,8.24
4,NRO1,do,5.3
4,NRO1,chl,134.54
4,NRO1,pc,10.82
4,NRO1,amm,0.18
4,VMS1,temp,29.6
4,VMS1,ph,8.33
4,VMS1,do,5.7
4,VMS1,chl,371.9
4,VMS1,pc,14
4,VMS1,amm,0.21
4,GRA1,temp,28.4
4,GRA1,ph,8.54
4,GRA1,do,4
4,GRA1,chl,132.52
4,GRA1,pc,5.78
4,GRA1,amm,0.15
4,PKR1,temp,30.5
4,PKR1,ph,8.25
4,PKR1,do,2.8
4,PKR1,chl,36.69
4,PKR1,pc,1.13
4,PKR1,amm,1.08
4,SRI2,temp,29.4
4,SRI2,ph,8.27
4,SRI2,do,6.3
4,SRI2,chl,155.79
4,SRI2,pc,6.97
4,SRI2,amm,0.13
4,SRI1,temp,29.7
4,SRI1,ph,8.17
4,SRI1,do,4.2
4,SRI1,chl,101.82
4,SRI1,pc,6.74
4,SRI1,amm,0.14
4,GIL2,temp,29
4,GIL2,ph,8.28
4,GIL2,do,4.2
4,GIL2,chl,66.67
4,GIL2,pc,2.09
4,GIL2,amm,0.09
5,SNR2,temp,29.2
5,SNR2,ph,8.62
5,SNR2,do,6.72
5,SNR2,chl,308.93
5,SNR2,pc,14.26
5,SNR2,amm,0.15
5,JKS1,temp,30.3
5,JKS1,ph,7.96
5,JKS1,do,2.35
5,JKS1,chl,74.61
5,JKS1,pc,4.99
5,JKS1,amm,0.1
5,PNR1,temp,29.8
5,PNR1,ph,8.73
5,PNR1,do,8.77
5,PNR1,chl,105.6
5,PNR1,pc,9.88
5,PNR1,amm,0.15
5,GOW2,temp,30.3
5,GOW2,ph,8.35
5,GOW2,do,7.5
5,GOW2,chl,99.03
5,GOW2,pc,6.67
5,GOW2,amm,0.13
5,SRV1,temp,30.2
5,SRV1,ph,8.31
5,SRV1,do,6.75
5,SRV1,chl,132.31
5,SRV1,pc,5.84
5,SRV1,amm,0.13
5,SRK1,temp,29.6
5,SRK1,ph,8.6
5,SRK1,do,4.66
5,SRK1,chl,401
5,SRK1,pc,17.01
5,SRK1,amm,0.3
5,VVR1,temp,29.7
5,VVR1,ph,8.85
5,VVR1,do,7.57
5,VVR1,chl,80.05
5,VVR1,pc,3.65
5,VVR1,amm,0.05
5,KIS1,temp,31
5,KIS1,ph,8.11
5,KIS1,do,7.06
5,KIS1,chl,41.81
5,KIS1,pc,2.78
5,KIS1,amm,0.17
5,PRA1,temp,31.2
5,PRA1,ph,8.29
5,PRA1,do,11.59
5,PRA1,chl,124.1
5,PRA1,pc,6.84
5,PRA1,amm,0.29
5,SBR1,temp,30.9
5,SBR1,ph,8.26
5,SBR1,do,10.1
5,SBR1,chl,113.92
5,SBR1,pc,10.37
5,SBR1,amm,0.2
5,NSR1,temp,29.7
5,NSR1,ph,8.51
5,NSR1,do,4.1
5,NSR1,chl,103.71
5,NSR1,pc,10.89
5,NSR1,amm,0.3
5,JAG1,temp,29.8
5,JAG1,ph,8.3
5,JAG1,do,3.6
5,JAG1,chl,182.92
5,JAG1,pc,7.41
5,JAG1,amm,0.41
5,VPS3,temp,30.1
5,VPS3,ph,8.24
5,VPS3,do,4.2
5,VPS3,chl,88.27
5,VPS3,pc,3.7
5,VPS3,amm,0.18
5,NRO1,temp,30.5
5,NRO1,ph,8.26
5,NRO1,do,5.2
5,NRO1,chl,104.24
5,NRO1,pc,6.31
5,NRO1,amm,0.43
5,VMS1,temp,30.2
5,VMS1,ph,8.37
5,VMS1,do,6.8
5,VMS1,chl,356.37
5,VMS1,pc,13.46
5,VMS1,amm,0.24
5,GRA1,temp,30.1
5,GRA1,ph,8.57
5,GRA1,do,4.7
5,GRA1,chl,114.96
5,GRA1,pc,5.27
5,GRA1,amm,0.18
5,PKR1,temp,
5,PKR1,ph,
5,PKR1,do,
5,PKR1,chl,
5,PKR1,pc,
5,PKR1,amm,
5,SRI2,temp,29.8
5,SRI2,ph,8.2
5,SRI2,do,2.2
5,SRI2,chl,170.53
5,SRI2,pc,8.28
5,SRI2,amm,0.24
5,SRI1,temp,30.6
5,SRI1,ph,8.23
5,SRI1,do,7.7
5,SRI1,chl,101.43
5,SRI1,pc,7.05
5,SRI1,amm,0.15
5,GIL2,temp,29.6
5,GIL2,ph,8.25
5,GIL2,do,2.2
5,GIL2,chl,75.52
5,GIL2,pc,2.08
5,GIL2,amm,0.11
